Artists,Word1,Word2,Word3
YoungThug,she,her,nigga
MasterP,nigga,p,but
CypressHill,im,out,no
Common,be,go,know
RickRoss,nigga,just,but
MCLyte,but,be,so
WizKhalifa,so,when,be
KanyeWest,kanye,know,west
EricB.Rakim,so,but,when
LilWayne,she,nigga,bitch
Drake,know,just,shit
50Cent,nigga,50,if
Migos,out,no,versace
LLCoolJ,baby,so,be
Raekwon,man,know,shit
Logic,know,but,shit
KRSOne,but,be,know
MFDOOM,he,be,no
JuicyJ,juicy,fuck,j
SnoopDogg,dogg,snoop,so
MethodMan,man,method,be
cupcakKe,dick,so,pussy
QueenLatifah,so,know,be
MacMiller,just,be,mac
ABoogiewitdaHoodie,she,fuck,know
TalibKweli,im,so,but
RunDMC,run,dmc,rock
A$APFerg,a$ap,nigga,ferg
LilUziVert,no,she,what
RZA,rza,be,shit
BigSean,ass,know,big
BoneThugsNHarmony,bone,so,be
BigDaddyKane,so,kane,be
BizMarkie,was,im,so
CardiB,bitch,cardi,money
Twista,be,when,so
LupeFiasco,just,but,so
Eminem,but,just,be
TylerTheCreator,fuck,but,tyler
ScHoolboyQ,nigga,shit,q
JoeyBada,but,so,just
KevinGates,im,love,out
SouljaBoy,boy,soulja,some
Royceda59,just,was,be
IceT,but,man,out
J.Cole,but,nigga,know
Jeezy,nigga,im,jeezy
FatJoe,make,joe,love
PublicEnemy,yo,go,down
SaltNPepa,what,man,so
UGK,but,aint,pimp
LilKim,be,kim,what
KendrickLamar,kendrick,know,lamar
E40,out,no,nigga
BustaRhymes,im,know,nigga
ActionBronson,shit,out,verse
MobbDeep,shit,out,be
Redman,out,shit,so
NickiMinaj,bitch,know,just
MissyElliott,missy,dont,go
JAYZ,nigga,dont,be
Gunna,no,her,aint
TravisScott,scott,travis,know
RaeSremmurd,she,swae,lee
MosDef,know,what,out
21Savage,nigga,21,bitch
2Chainz,2,chainz,no
2Pac,but,be,aint
A$APRocky,nigga,fuck,a$ap
VinceStaples,be,no,know
Camron,killa,but,cam
Russ,just,but,love
Wale,be,but,she
Jadakiss,what,why,if
ATribeCalledQuest,out,know,be
KodakBlack,be,nigga,but
JuelzSantana,im,know,nigga
TechN9ne,be,but,so
Ludacris,so,what,ludacris
GZA,from,was,who
ChildishGambino,know,but,so
LilBaby,no,know,she
OutKast,but,be,now
Nas,be,was,what
Scarface,but,so,nigga
IceCube,im,fuck,out
Nelly,know,nelly,now
JoeBudden,but,so,just
GucciMane,gucci,nigga,she
DMX,but,know,be
KidCudi,no,be,oh
Diddy,know,be,when
BeastieBoys,so,out,verse
DeLaSoul,but,be,just
GhostfaceKillah,out,was,ghostface
GangStarr,be,so,but
MeekMill,nigga,know,was
Future,nigga,fuck,know
T.I.,nigga,know,no
PushaT,nigga,when,verse
