Words,Count
intro,2968
racks,407
i,92472
see,8528
you,74073
for,19711
life,4259
bitch,8482
yeah,17379
fuck,9031
your,22567
momma,502
and,59107
everything,1724
else,513
killed,416
this,17204
track,477
free,933
the,117877
chorus,7276
thats,2199
my,47827
best,1489
friend,742
big,3646
booty,376
from,8798
whats,909
next,1228
is,17081
im,4723
gon,1093
off,6096
lil,851
nigga,13499
come,5873
catch,1184
me,37719
go,9165
livin,647
still,4314
on,33674
bad,2329
rollin,449
wit,439
she,11197
smile,451
cause,3822
hundred,1094
thousand,529
dollars,452
inside,1093
pants,286
shit,10958
verse,12071
1,4597
take,5507
them,6912
boys,542
to,52525
school,767
like,28464
a,60491
hold,2061
up,24159
it,40821
ima,1611
eat,968
that,32413
just,13897
lay,587
down,7989
lets,1110
do,7170
no,14179
got,20057
want,5437
are,3769
good,3278
with,24484
stuff,288
if,10468
they,17384
bang,787
other,1474
side,1418
than,3226
ever,2054
find,1434
her,8769
better,3223
keep,4830
goin,795
out,13575
or,5386
send,541
cop,509
cant,2423
wait,973
em,1272
ho,1497
beat,1532
aint,3521
people,2287
2,4966
let,5775
tell,4994
how,6398
spent,270
couple,697
hundreds,182
today,731
done,2139
cut,999
back,8742
lean,510
dont,2841
talkin,819
when,12832
him,3443
shoot,848
in,36665
his,3812
face,1853
bitches,2860
michael,192
moon,234
walkin,303
at,8564
stop,2641
get,19934
bout,874
put,4829
buck,352
dog,918
stuck,498
sister,204
give,4164
cuz,303
here,4595
yo,1917
cup,445
call,3186
bring,1554
crew,769
suck,568
these,6179
drugs,570
j,670
cole,224
oh,4772
woah,731
travis,320
scott,389
time,6378
we,21145
can,9180
run,2627
one,7959
talk,2108
about,4730
some,6426
things,1247
money,6120
say,6367
word,1398
ill,1117
through,3641
two,2502
knew,818
as,5102
cash,1185
grow,321
could,3314
hit,3660
never,6809
mine,1229
slide,349
huh,1439
not,6244
switch,391
ride,1952
everybody,1727
sing,516
heard,1404
left,1460
of,23977
rappers,466
dead,1127
birds,206
did,2208
every,3074
niggas,1759
walked,229
away,1640
then,6272
told,2063
gotta,4100
know,16618
high,2357
ballin,336
pussy,1979
all,18281
ayy,1918
somethin,706
man,8046
young,2505
thug,975
pimp,552
church,240
make,7746
brick,333
walk,1363
woo,1342
north,192
south,389
little,2402
water,786
daughter,316
bread,381
main,253
uh-huh,577
took,1425
quarter,222
uh,3777
so,14749
pain,956
light,1094
brown,532
eyes,1444
ooh,1708
didnt,858
mama,1124
something,1203
fire,842
drop,1641
roll,1439
ive,961
been,4583
road,459
act,785
start,1429
leave,1882
outro,1839
hey,2439
full,1120
town,624
wont,1490
play,2152
hoes,1970
will,2847
might,1948
fly,1386
whole,1940
day,3171
folks,201
bullshit,338
stack,312
three,1111
white,1431
its,2298
rolls,211
sexy,223
lookin,740
baby,4951
way,4825
uh-uh,201
check,2076
post-chorus,284
mind,2317
brain,660
change,1113
20,183
50,465
100,198
millions,206
made,2475
gucci,717
mane,402
need,5017
flip,535
nothin,899
cops,442
pull,1701
crack,860
shawty,537
owe,190
promise,348
quit,324
whip,666
meet,502
wanna,6184
dick,1867
read,325
loud,450
beast,228
an,2005
four,899
season,190
ice,1044
am,1732
hard,2414
was,10477
fake,640
kept,338
top,1691
bentley,253
none,499
yes,1175
swear,793
da,668
first,1714
power,665
he,7229
nose,375
boy,2923
now,11635
around,2982
diamonds,833
chest,347
fuckin,1003
ya,3601
dig,380
thing,1880
feed,249
before,1914
without,982
swag,447
pack,431
actin,251
met,494
skrrt,562
show,2165
yellow,428
cat,339
chase,265
yah,333
look,3869
killin,289
fact,496
theres,941
blood,597
what,11970
god,2849
feelin,463
eight,244
cream,367
rich,1125
real,4375
legs,250
gonna,2105
head,1646
welcome,276
ridin,372
round,457
hah,208
mad,1248
kick,795
sippin,227
poppin,336
coke,324
where,4006
try,1963
bands,301
dropped,271
any,885
pop,1410
fast,875
true,913
ludacris,193
nine,483
hop,491
be,17022
fresh,701
cool,1054
damn,1950
calling,266
boo,296
whoa,474
point,476
lost,908
over,2775
front,1032
pockets,329
clean,496
block,1086
who,4863
always,1833
soon,505
land,370
movin,275
blame,269
count,580
nah,882
gunna,236
future,503
anything,582
outta,602
louis,209
gettin,945
benz,389
coupe,371
shoes,440
kids,661
keys,333
live,2143
color,257
by,4236
shine,570
watch,2077
drippin,238
uzi,307
care,822
fill,218
cover,204
help,696
dime,229
pour,318
less,234
lines,204
kind,372
both,624
bag,966
locked,355
door,753
save,460
dope,1418
card,198
new,3315
already,623
grown,292
woman,436
body,1645
price,301
fan,197
scared,577
business,640
la,1032
city,1108
own,1346
runnin,529
space,270
bags,252
closet,188
checks,207
rose,195
gold,935
rollie,239
college,219
really,2681
pay,928
were,910
self,265
gang,1257
deal,585
six,448
seven,309
music,912
bit,459
motherfuckin,544
40,278
wrist,566
boss,567
drank,234
ohh,275
hell,744
feel,3775
ha,822
voice,288
hear,1607
song,802
case,474
turn,1881
into,1704
child,366
stand,910
line,845
foreign,300
hurt,584
feet,639
weed,1076
molly,256
e,211
club,1049
looking,995
love,7380
but,16210
think,3749
gone,1478
survive,242
fool,561
control,420
wet,637
okay,1132
mother,421
pass,918
kiss,467
hot,1460
least,267
car,1078
outside,369
cars,368
too,3810
wild,482
came,1967
proud,227
style,838
plus,622
seen,1240
snoop,351
girls,838
bought,799
million,738
dollar,562
york,488
motherfucking,424
have,4689
spit,622
everywhere,332
shots,615
ten,561
tellin,259
hope,1127
bigger,384
coming,985
k,222
motherfucker,934
til,839
name,2022
myself,1005
roof,336
dogs,240
ring,537
only,3006
even,3285
learn,358
learned,219
ball,760
whenever,284
turned,462
broke,1041
more,4159
lot,1593
tried,787
diss,185
chop,181
lock,276
eye,540
stay,2083
worry,280
cannot,231
sleep,748
miss,637
lady,428
while,1990
sky,582
sign,311
work,1783
interlude,563
brand,360
dawg,617
smoke,1585
double,536
drinkin,246
had,4187
5,373
sick,601
tired,423
lies,281
ones,418
drip,346
guys,250
jeans,327
grip,256
ass,3919
sit,652
break,1542
floor,804
dude,336
brought,329
ah,1101
lit,414
3,2466
move,1602
since,1057
straight,1662
truck,281
death,693
years,704
super,359
well,664
hand,997
grab,489
part,605
same,1923
makin,433
